age;male ;female
0;78,96;82,86
1;78,26;82,12
2;77,29;81,14
3;76,3;80,15
4;75,31;79,16
5;74,32;78,16
6;73,33;77,16
7;72,34;76,17
8;71,34;75,18
9;70,35;74,18
10;69,35;73,19
11;68,36;72,19
12;67,36;71,19
13;66,36;70,2
14;65,37;69,2
15;64,38;68,2
16;63,39;67,21
17;62,41;66,21
18;61,42;65,23
19;60,45;64,25
20;59,46;63,26
21;58,48;62,27
22;57,5;61,29
23;56,53;60,3
24;55,56;59,31
25;54,58;58,32
26;53,61;57,33
27;52,63;56,35
28;51,66;55,36
29;50,67;54,37
30;49,69;53,39
31;48,72;52,39
32;47,75;51,41
33;46,78;50,43
34;45,81;49,45
35;44,84;48,46
36;43,87;47,47
37;42,91;46,49
38;41,94;45,51
39;40,98;44,53
40;40,02;43,56
41;39,06;42,6
42;38,1;41,62
43;37,15;40,66
44;36,2;39,7
45;35,25;38,73
46;34,3;37,78
47;33,37;36,83
48;32,44;35,88
49;31,52;34,94
50;30,6;34
51;29,68;33,07
52;28,79;32,15
53;27,89;31,24
54;26,99;30,32
55;26,13;29,42
56;25,28;28,54
57;24,43;27,63
58;23,63;26,75
59;22,8;25,86
60;21,97;24,99
61;21,18;24,13
62;20,38;23,28
63;19,6;22,44
64;18,82;21,61
65;18,05;20,78
66;17,3;19,96
67;16,55;19,14
68;15,82;18,32
69;15,08;17,52
70;14,35;16,73
71;13,63;15,95
72;12,95;15,19
73;12,3;14,42
74;11,64;13,67
75;10,98;12,94
76;10,36;12,23
77;9,72;11,51
78;9,12;10,82
79;8,54;10,17
80;7,95;9,53
81;7,41;8,92
82;6,91;8,34
83;6,4;7,77
84;5,93;7,25
85;5,5;6,75
86;5,08;6,26
87;4,68;5,8
88;4,34;5,37
89;4,02;4,93
90;3,66;4,55
91;3,37;4,19
92;3,12;3,87
93;2,86;3,55
94;2,67;3,3
95;2,56;3,06
96;2,38;2,83
97;2,21;2,67
98;2,06;2,38
99;1,86;2,15
